

Industry,Year,Nominal_Value,Price_Index,Real_Value
            Management of companies and enterprises,2018,159,102.909,154.5054368
            Administrative and waste management services,2018,101,102.423,98.61066362
                Administrative and support services,2018,101,102.426,98.60777537
                Waste management and remediation services,2018,0,99.855,0
"        Educational services, health care, and social assistance",2018,1751,103.242,1696.015188
            Educational services,2018,1661,103.22,1609.184267
            Health care and social assistance,2018,90,103.651,86.82984245
                Ambulatory health care services,2018,3,99.959,3.001230505
                Hospitals,2018,86,103.838,82.82131782
                Nursing and residential care facilities,2018,0,100.399,0
                Social assistance,2018,0,98.983,0
"        Arts, entertainment, recreation, accommodation, and food services",2018,105,99.564,105.4598047
"            Arts, entertainment, and recreation",2018,102,99.606,102.4034697
"                Performing arts, spectator sports, museums, and related activities",2018,102,99.604,102.4055259
"                Amusements, gambling, and recreation industries",2018,0,100.203,0
            Accommodation and food services,2018,3,98.057,3.059445017
                Accommodation,2018,3,98.047,3.059757055
                Food services and drinking places,2018,0,99.927,0
"        Other services, except government",2018,4,98.744,4.050879041
    Government5,2018,25019,103.484,24176.68432
        Federal,2018,23137,103.467,22361.7192
            General government,2018,23134,103.468,22358.60363
            General government,2018,23134,103.695,22309.65813
                National defense,2018,4999,102.634,4870.705614
                Nondefense,2018,18135,103.685,17490.47596
            Government enterprises,2018,3,98.277,3.052596233
            Government enterprises,2018,3,105.272,2.84976062
        State and local,2018,1883,103.695,1815.902406
            General government,2018,1883,103.468,1819.886342
            General government,2018,1883,103.695,1815.902406
            Government enterprises,2018,0,98.277,0
            Government enterprises,2018,0,105.272,0
"Space economy excluding satellite television, satellite radio, and educational services6",2018,96791,100.003,96788.09636
Space economy1,2019,128189,104.337,122860.5384
    Private industries,2019,100522,104.088,96574.05272
        Mining,2019,6,104.859,5.721969502
            Oil and gas extraction,2019,4,104.74,3.818980332
"            Mining, except oil and gas",2019,0,105.514,0
            Support activities for mining,2019,2,104.976,1.905197378
        Utilities,2019,1,98.556,1.014651569
        Construction,2019,1152,109.891,1048.311509
        Manufacturing,2019,34946,93.028,37565.03418
            Durable goods,2019,34765,92.954,37400.21946
                Wood products,2019,4,105.635,3.786623752
                Nonmetallic mineral products,2019,26,105.659,24.60746363
                Primary metals,2019,31,110.929,27.94580317
                Fabricated metal products,2019,179,106.407,168.2220155
                Machinery,2019,398,105.018,378.9826506
                Computer and electronic products2,2019,20452,88.251,23174.80822
"                Electrical equipment, appliances, and components",2019,603,108.874,553.8512409
"                Motor vehicles, bodies and trailers, and parts",2019,1,99.919,1.000810657
                Other transportation equipment3,2019,12704,101.233,12549.26753
                Furniture and related products,2019,8,105.537,7.580279902
                Miscellaneous manufacturing,2019,359,105.666,339.7497776
            Nondurable goods,2019,181,104.752,172.7890637
                Food and beverage and tobacco products,2019,91,105.679,86.10982314
                Textile mills and textile product mills,2019,6,106.156,5.652059234
                Apparel and leather and allied products,2019,3,106.614,2.813889358
                Paper products,2019,17,105.84,16.06198035
                Printing and related support activities,2019,1,102.412,0.976448072
                Petroleum and coal products,2019,23,105.608,21.77865313
                Chemical products,2019,5,71.428,7.000056
                Plastics and rubber products,2019,34,106.143,32.03225837
        Wholesale trade,2019,21546,111.759,19278.98424
        Retail trade,2019,591,88.493,667.8494344
            Motor vehicle and parts dealers,2019,0,100.691,0
            Food and beverage stores,2019,1,105.837,0.944849155
            General merchandise stores,2019,70,102.737,68.13514119
            Other retail,2019,519,86.744,598.3122752
        Transportation and warehousing,2019,746,107.879,691.5154942
            Air transportation,2019,263,103.557,253.9664146
            Rail transportation,2019,3,105.608,2.840693887
            Water transportation,2019,1,123.19,0.811754201
            Truck transportation,2019,436,111.636,390.5550181
            Transit and ground passenger transportation,2019,1,105.493,0.947930194
            Pipeline transportation,2019,2,105.083,1.903257425
            Other transportation and support activities,2019,36,107.454,33.50270814
            Warehousing and storage,2019,4,105.286,3.799175579
        Information,2019,32257,110.977,29066.38312
"            Publishing industries, except internet (includes software)",2019,242,102.115,236.9877099
            Motion picture and sound recording industries,2019,46,102.901,44.70316129
            Broadcasting and telecommunications4,2019,30938,111.106,27845.48089
"            Data processing, internet publishing, and other information services",2019,1031,109.553,941.0970033
"        Finance, insurance, real estate, rental, and leasing",2019,136,102.679,132.4516211
            Finance and insurance,2019,129,102.712,125.5938936
"                Federal Reserve banks, credit intermediation, and related activities",2019,19,101.541,18.71165342
"                Securities, commodity contracts, and investments",2019,9,102.736,8.760317708
                Insurance carriers and related activities,2019,102,102.713,99.30583276
"                Funds, trusts, and other financial vehicles",2019,0,104.043,0
            Real estate and rental and leasing,2019,7,102.149,6.852734731
                Real estate,2019,4,102.928,3.886211721
                    Housing,2019,1,102.284,0.977670017
                    Other real estate,2019,3,103.088,2.91013503
                Rental and leasing services and lessors of intangible assets,2019,3,101.023,2.969620779
        Professional and business services,2019,7125,105.295,6766.703072
"            Professional, scientific, and technical services",2019,6842,105.369,6493.370916
                Legal services,2019,1,99.032,1.009774618
                Computer systems design and related services,2019,644,95.334,675.5197516
"                Miscellaneous professional, scientific, and technical services",2019,6197,106.504,5818.560805
            Management of companies and enterprises,2019,179,103.857,172.3523691
            Administrative and waste management services,2019,105,102.973,101.9684772
                Administrative and support services,2019,104,102.976,100.9944065
                Waste management and remediation services,2019,0,99.174,0
"        Educational services, health care, and social assistance",2019,1905,104.626,1820.771128
            Educational services,2019,1829,104.601,1748.549249
            Health care and social assistance,2019,76,105.067,72.33479589
                Ambulatory health care services,2019,4,99.44,4.022526146
                Hospitals,2019,72,105.36,68.33712984
                Nursing and residential care facilities,2019,0,100.086,0
                Social assistance,2019,0,97.804,0
"        Arts, entertainment, recreation, accommodation, and food services",2019,108,101.046,106.8820141
"            Arts, entertainment, and recreation",2019,104,101.146,102.8216637
"                Performing arts, spectator sports, museums, and related activities",2019,104,101.148,102.8196306
"                Amusements, gambling, and recreation industries",2019,0,100.473,0
            Accommodation and food services,2019,3,97.564,3.074904678
                Accommodation,2019,3,97.567,3.07481013
                Food services and drinking places,2019,0,97.355,0
"        Other services, except government",2019,5,92.215,5.42211137
    Government5,2019,27666,105.4,26248.57685
        Federal,2019,25564,105.428,24247.8279
            General government,2019,25561,105.428,24244.98236
            General government,2019,25561,105.076,24326.20199
                National defense,2019,5413,103.805,5214.585039
                Nondefense,2019,20148,105.864,19031.96554
            Government enterprises,2019,3,99.309,3.020874241
            Government enterprises,2019,3,108.034,2.776903567
        State and local,2019,2102,105.076,2000.456812
            General government,2019,2102,105.428,1993.777744
            General government,2019,2102,105.076,2000.456812
            Government enterprises,2019,0,99.309,0
            Government enterprises,2019,0,108.034,0
"Space economy excluding satellite television, satellite radio, and educational services6",2019,103499,101.761,101707.9235
Space economy1,2020,124239,105.283,118004.8061
    Private industries,2020,96800,105.027,92166.77616
        Mining,2020,2,109.125,1.832760596
            Oil and gas extraction,2020,1,108.789,0.919210582
"            Mining, except oil and gas",2020,0,110.711,0
            Support activities for mining,2020,1,109.52,0.913075237
        Utilities,2020,1,98.049,1.019898214
        Construction,2020,992,116.663,850.3124384
        Manufacturing,2020,32618,91.577,35618.11372
            Durable goods,2020,32440,91.47,35465.17984
                Wood products,2020,3,111.122,2.699735426
                Nonmetallic mineral products,2020,26,111.6,23.29749104
                Primary metals,2020,35,116.848,29.95344379
                Fabricated metal products,2020,182,112.202,162.2074473
                Machinery,2020,379,109.748,345.3365893
                Computer and electronic products2,2020,19152,85.067,22514.01836
"                Electrical equipment, appliances, and components",2020,522,112.506,463.9752547
"                Motor vehicles, bodies and trailers, and parts",2020,1,97.331,1.02742189
                Other transportation equipment3,2020,11802,102.245,11542.86273
                Furniture and related products,2020,9,111.109,8.100153903
                Miscellaneous manufacturing,2020,328,111.419,294.3842612
            Nondurable goods,2020,178,110.678,160.8269033
                Food and beverage and tobacco products,2020,101,111.498,90.58458448
                Textile mills and textile product mills,2020,5,114.029,4.384849468
                Apparel and leather and allied products,2020,3,116.871,2.566932772
                Paper products,2020,13,112.147,11.59192845
                Printing and related support activities,2020,1,128.862,0.776023964
                Petroleum and coal products,2020,21,111.28,18.8713156
                Chemical products,2020,5,66.007,7.574954172
                Plastics and rubber products,2020,29,113.793,25.48487165
        Wholesale trade,2020,23218,116.051,20006.72118
        Retail trade,2020,387,95.199,406.5168752
            Motor vehicle and parts dealers,2020,1,102.334,0.977192331
            Food and beverage stores,2020,1,110.93,0.901469395
            General merchandise stores,2020,51,96.995,52.5800299
            Other retail,2020,335,95.075,352.3534052
        Transportation and warehousing,2020,681,106.266,640.8446728
            Air transportation,2020,191,96.224,198.4951779
            Rail transportation,2020,3,108.549,2.763728823
            Water transportation,2020,1,113.899,0.877970834
            Truck transportation,2020,452,112.761,400.8478109
            Transit and ground passenger transportation,2020,0,110.606,0
            Pipeline transportation,2020,1,109.508,0.913175293
            Other transportation and support activities,2020,31,111.378,27.83314479
            Warehousing and storage,2020,3,107.939,2.779347594
        Information,2020,29746,111.37,26709.16764
"            Publishing industries, except internet (includes software)",2020,253,104.1,243.0355427
            Motion picture and sound recording industries,2020,37,108.986,33.94931459
            Broadcasting and telecommunications4,2020,28477,111.359,25572.24831
"            Data processing, internet publishing, and other information services",2020,978,113.435,862.1677613
"        Finance, insurance, real estate, rental, and leasing",2020,105,108.133,97.10264212
            Finance and insurance,2020,96,108.413,88.55026611
"                Federal Reserve banks, credit intermediation, and related activities",2020,17,103.343,16.45007403
"                Securities, commodity contracts, and investments",2020,11,105.291,10.44723671
                Insurance carriers and related activities,2020,68,109.654,62.01324165
"                Funds, trusts, and other financial vehicles",2020,0,105.498,0
            Real estate and rental and leasing,2020,9,104.139,8.642295394
                Real estate,2020,6,106.03,5.658775818
                    Housing,2020,1,104.947,0.952861921
                    Other real estate,2020,5,106.3,4.703668862
                Rental and leasing services and lessors of intangible assets,2020,3,101.182,2.964954241
        Professional and business services,2020,6795,110.693,6138.59955
"            Professional, scientific, and technical services",2020,6534,110.842,5894.877393
                Legal services,2020,1,98.885,1.011275724
                Computer systems design and related services,2020,654,93.276,701.1449891
"                Miscellaneous professional, scientific, and technical services",2020,5879,112.92,5206.340772
            Management of companies and enterprises,2020,157,107.723,145.7441772
            Administrative and waste management services,2020,103,106.081,97.09561561
                Administrative and support services,2020,103,106.087,97.09012414
                Waste management and remediation services,2020,0,98.802,0
"        Educational services, health care, and social assistance",2020,2136,105.378,2026.988555
            Educational services,2020,2094,105.226,1990.002471
            Health care and social assistance,2020,42,109.793,38.25380489
                Ambulatory health care services,2020,3,99.306,3.020965501
                Hospitals,2020,39,110.493,35.29635362
                Nursing and residential care facilities,2020,0,100.453,0
                Social assistance,2020,0,96.435,0
"        Arts, entertainment, recreation, accommodation, and food services",2020,113,104.786,107.8388334
"            Arts, entertainment, and recreation",2020,111,104.991,105.7233477
"                Performing arts, spectator sports, museums, and related activities",2020,111,105.009,105.7052253
"                Amusements, gambling, and recreation industries",2020,0,99.152,0
            Accommodation and food services,2020,2,96.784,2.066457266
                Accommodation,2020,2,96.771,2.066734869
                Food services and drinking places,2020,0,98.491,0
"        Other services, except government",2020,5,94.139,5.311295
    Government5,2020,27439,106.372,25795.32208
        Federal,2020,25041,106.45,23523.72006
            General government,2020,25039,106.451,23521.62028
            General government,2020,25039,105.487,23736.57418
                National defense,2020,6275,105.416,5952.606815
                Nondefense,2020,18764,106.713,17583.61212
            Government enterprises,2020,2,95.755,2.088663777
            Government enterprises,2020,2,108.652,1.840739241
        State and local,2020,2397,105.487,2272.317916
            General government,2020,2397,106.451,2251.740237
            General government,2020,2397,105.487,2272.317916
            Government enterprises,2020,0,95.755,0
            Government enterprises,2020,0,108.652,0
"Space economy excluding satellite television, satellite radio, and educational services6",2020,101670,102.839,98863.27172
Space economy1,2021,125219,112.243,111560.6318
    Private industries,2021,97034,113.4,85567.90123
        Mining,2021,2,110.856,1.804142311
            Oil and gas extraction,2021,2,110.277,1.813614806
"            Mining, except oil and gas",2021,0,113.607,0
            Support activities for mining,2021,1,111.546,0.896491134
        Utilities,2021,2,96.744,2.067311668
        Construction,2021,617,120.287,512.9398854
        Manufacturing,2021,34186,88.75,38519.43662
            Durable goods,2021,33985,88.62,38349.13112
                Wood products,2021,8,114.184,7.00623555
                Nonmetallic mineral products,2021,26,114.613,22.68503573
                Primary metals,2021,37,150.808,24.53450745
                Fabricated metal products,2021,239,117.117,204.0694348
                Machinery,2021,452,110.97,407.317293
                Computer and electronic products2,2021,20759,80.423,25812.26763
"                Electrical equipment, appliances, and components",2021,527,135.119,390.0265692
"                Motor vehicles, bodies and trailers, and parts",2021,1,97.784,1.022662194
                Other transportation equipment3,2021,11523,101.68,11332.61212
                Furniture and related products,2021,8,114.126,7.00979619
                Miscellaneous manufacturing,2021,406,114.593,354.2973829
            Nondurable goods,2021,200,112.849,177.2279772
                Food and beverage and tobacco products,2021,113,114.599,98.60469987
                Textile mills and textile product mills,2021,5,116.504,4.291698139
                Apparel and leather and allied products,2021,3,118.356,2.534725743
                Paper products,2021,18,115.013,15.65040474
                Printing and related support activities,2021,1,119.955,0.833645951
                Petroleum and coal products,2021,18,114.391,15.73550367
                Chemical products,2021,5,53.851,9.284878647
                Plastics and rubber products,2021,36,116.184,30.98533361
        Wholesale trade,2021,22996,161.335,14253.57176
        Retail trade,2021,587,103.006,569.8697163
            Motor vehicle and parts dealers,2021,1,109.196,0.915784461
            Food and beverage stores,2021,1,109.865,0.910207983
            General merchandise stores,2021,68,101.31,67.12071859
            Other retail,2021,517,103.411,499.9468142
        Transportation and warehousing,2021,694,110.722,626.7950362
            Air transportation,2021,161,87.448,184.1094136
            Rail transportation,2021,4,109.926,3.638811564
            Water transportation,2021,1,129.496,0.772224625
            Truck transportation,2021,503,123.468,407.3930087
            Transit and ground passenger transportation,2021,0,113.122,0
            Pipeline transportation,2021,1,112.258,0.89080511
            Other transportation and support activities,2021,20,117.411,17.03417908
            Warehousing and storage,2021,3,112.685,2.662288681
        Information,2021,27937,114.687,24359.34326
"            Publishing industries, except internet (includes software)",2021,281,104.006,270.1767206
            Motion picture and sound recording industries,2021,38,111.982,33.93402511
            Broadcasting and telecommunications4,2021,26590,114.658,23190.70627
"            Data processing, internet publishing, and other information services",2021,1029,118.264,870.0872624
"        Finance, insurance, real estate, rental, and leasing",2021,123,110.286,111.5282085
            Finance and insurance,2021,115,110.562,104.0140374
"                Federal Reserve banks, credit intermediation, and related activities",2021,28,104.278,26.85130133
"                Securities, commodity contracts, and investments",2021,13,106.768,12.17593286
                Insurance carriers and related activities,2021,74,112.288,65.90196637
"                Funds, trusts, and other financial vehicles",2021,0,105.234,0
            Real estate and rental and leasing,2021,8,106.304,7.525586996
                Real estate,2021,5,107.879,4.634822347
                    Housing,2021,1,106.308,0.940662979
                    Other real estate,2021,4,108.271,3.694433412
                Rental and leasing services and lessors of intangible assets,2021,3,103.938,2.886336085
        Professional and business services,2021,7565,111.639,6776.305771
"            Professional, scientific, and technical services",2021,7293,111.775,6524.714829
                Legal services,2021,2,97.597,2.049243317
                Computer systems design and related services,2021,860,89.34,962.6147302
"                Miscellaneous professional, scientific, and technical services",2021,6431,114.595,5611.937694
            Management of companies and enterprises,2021,159,109.11,145.7244982
            Administrative and waste management services,2021,113,107.203,105.4074979
                Administrative and support services,2021,113,107.211,105.3996325
                Waste management and remediation services,2021,0,97.314,0
"        Educational services, health care, and social assistance",2021,2227,105.466,2111.580983
            Educational services,2021,2137,105.257,2030.268771
            Health care and social assistance,2021,90,111.725,80.55493399
                Ambulatory health care services,2021,4,97.967,4.083007543
                Hospitals,2021,86,112.697,76.31081573
                Nursing and residential care facilities,2021,0,99.488,0
                Social assistance,2021,0,94.426,0
"        Arts, entertainment, recreation, accommodation, and food services",2021,93,106.671,87.18395815
"            Arts, entertainment, and recreation",2021,90,106.937,84.16170268
"                Performing arts, spectator sports, museums, and related activities",2021,90,106.958,84.14517848
"                Amusements, gambling, and recreation industries",2021,0,99.884,0
            Accommodation and food services,2021,2,95.824,2.087159793
                Accommodation,2021,2,95.794,2.087813433
                Food services and drinking places,2021,0,99.159,0
"        Other services, except government",2021,5,94.599,5.285468134
    Government5,2021,28184,108.482,25980.34697
        Federal,2021,25679,108.818,23598.11796
            General government,2021,25669,108.821,23588.278
            General government,2021,25669,104.98,24451.32406
                National defense,2021,7698,107.441,7164.862576
                Nondefense,2021,17972,109.219,16455.01241
            Government enterprises,2021,9,94.384,9.535514494
            Government enterprises,2021,9,111.707,8.056791428
        State and local,2021,2506,104.98,2387.121356
            General government,2021,2506,108.821,2302.864337
            General government,2021,2506,104.98,2387.121356
            Government enterprises,2021,0,94.384,0
            Government enterprises,2021,0,111.707,0
"Space economy excluding satellite television, satellite radio, and educational services6",2021,104995,110.052,95404.8995
Space economy1,2022,134077,116.321,115264.6556
    Private industries,2022,102731,117.034,87778.76515
        Mining,2022,2,113.01,1.769754889
            Oil and gas extraction,2022,1,112.273,0.890686095
"            Mining, except oil and gas",2022,0,116.71,0
            Support activities for mining,2022,1,113.855,0.878310131
        Utilities,2022,2,97.592,2.049348307
        Construction,2022,842,133.304,631.6389606
        Manufacturing,2022,34427,88.822,38759.54156
            Durable goods,2022,34172,88.682,38533.18599
                Wood products,2022,6,117.372,5.111951743
                Nonmetallic mineral products,2022,29,117.403,24.70124273
                Primary metals,2022,44,147.857,29.75848286
                Fabricated metal products,2022,261,119.702,218.0414696
                Machinery,2022,514,112.924,455.173391
                Computer and electronic products2,2022,20685,78.585,26321.81714
"                Electrical equipment, appliances, and components",2022,603,144.552,417.1509215
"                Motor vehicles, bodies and trailers, and parts",2022,2,104.632,1.911461121
                Other transportation equipment3,2022,11498,105.633,10884.85606
                Furniture and related products,2022,9,116.997,7.692504936
                Miscellaneous manufacturing,2022,521,117.581,443.0988
            Nondurable goods,2022,255,115.145,221.4598984
                Food and beverage and tobacco products,2022,153,117.516,130.1950373
                Textile mills and textile product mills,2022,7,118.312,5.916559605
                Apparel and leather and allied products,2022,4,118.767,3.367938906
                Paper products,2022,19,117.777,16.132182
                Printing and related support activities,2022,1,111.463,0.897158698
                Petroleum and coal products,2022,19,117.35,16.19088198
                Chemical products,2022,6,49.758,12.05836247
                Plastics and rubber products,2022,46,118.227,38.90820202
        Wholesale trade,2022,26000,174.786,14875.33326
        Retail trade,2022,565,93.851,602.0180925
            Motor vehicle and parts dealers,2022,1,125.684,0.795646224
            Food and beverage stores,2022,1,127.804,0.782448124
            General merchandise stores,2022,73,128.111,56.98183606
            Other retail,2022,490,89.888,545.1228195
        Transportation and warehousing,2022,1239,135.311,915.6683492
            Air transportation,2022,564,98.594,572.0429235
            Rail transportation,2022,5,115.623,4.324399125
            Water transportation,2022,0,157.562,0
            Truck transportation,2022,641,157.768,406.2927843
            Transit and ground passenger transportation,2022,0,116.095,0
            Pipeline transportation,2022,1,115.406,0.866506074
            Other transportation and support activities,2022,23,130.076,17.68197054
            Warehousing and storage,2022,4,119.883,3.336586505
        Information,2022,26849,117.906,22771.52986
"            Publishing industries, except internet (includes software)",2022,317,103.608,305.9609297
            Motion picture and sound recording industries,2022,43,112.719,38.14796086
            Broadcasting and telecommunications4,2022,25362,117.873,21516.3778
"            Data processing, internet publishing, and other information services",2022,1126,122.842,916.6246072
"        Finance, insurance, real estate, rental, and leasing",2022,214,116.533,183.6389692
            Finance and insurance,2022,205,116.874,175.4025703
"                Federal Reserve banks, credit intermediation, and related activities",2022,28,106.227,26.35864705
"                Securities, commodity contracts, and investments",2022,14,108.913,12.85429655
                Insurance carriers and related activities,2022,163,120.298,135.4968495
"                Funds, trusts, and other financial vehicles",2022,0,106.326,0
            Real estate and rental and leasing,2022,9,111.171,8.095636452
                Real estate,2022,6,110.135,5.447859445
                    Housing,2022,1,108.25,0.923787529
                    Other real estate,2022,4,110.609,3.616342251
                Rental and leasing services and lessors of intangible assets,2022,3,113.249,2.649030014
        Professional and business services,2022,9802,113.196,8659.316584
"            Professional, scientific, and technical services",2022,9490,113.328,8373.923479
                Legal services,2022,2,97.874,2.043443611
                Computer systems design and related services,2022,953,86.525,1101.415776
"                Miscellaneous professional, scientific, and technical services",2022,8535,116.841,7304.798829
            Management of companies and enterprises,2022,171,110.843,154.272259
            Administrative and waste management services,2022,141,108.759,129.6444432
                Administrative and support services,2022,141,108.769,129.632524
                Waste management and remediation services,2022,0,97.29,0
"        Educational services, health care, and social assistance",2022,2695,107.966,2496.156197
            Educational services,2022,2434,107.816,2257.5499
            Health care and social assistance,2022,261,113.415,230.1282899
                Ambulatory health care services,2022,4,98.245,4.071454018
                Hospitals,2022,256,114.452,223.6745535
                Nursing and residential care facilities,2022,0,100.021,0
                Social assistance,2022,0,94.216,0
"        Arts, entertainment, recreation, accommodation, and food services",2022,89,112.57,79.06191703
"            Arts, entertainment, and recreation",2022,86,113.058,76.06715137
"                Performing arts, spectator sports, museums, and related activities",2022,85,113.101,75.15406583
"                Amusements, gambling, and recreation industries",2022,0,100.664,0
            Accommodation and food services,2022,3,95.52,3.140703518
                Accommodation,2022,3,95.426,3.143797288
                Food services and drinking places,2022,0,105.465,0
"        Other services, except government",2022,6,90.723,6.613537912
    Government5,2022,31346,113.998,27496.97363
        Federal,2022,28393,114.658,24763.20885
            General government,2022,28390,114.661,24759.94453
            General government,2022,28390,107.436,26425.03444
                National defense,2022,9403,117.309,8015.582777
                Nondefense,2022,18987,113.21,16771.48662
            Government enterprises,2022,3,99.053,3.028681615
            Government enterprises,2022,3,117.094,2.56204417
        State and local,2022,2953,107.436,2748.613128
            General government,2022,2953,114.661,2575.417971
            General government,2022,2953,107.436,2748.613128
            Government enterprises,2022,0,99.053,0
            Government enterprises,2022,0,117.094,0
"Space economy excluding satellite television, satellite radio, and educational services6",2022,115097,113.887,101062.4566
Space economy1,2023,142526,122.908,115961.5322
    Private industries,2023,106924,123.825,86350.89845
        Mining,2023,2,114.749,1.742934579
            Oil and gas extraction,2023,1,113.928,0.877747349
"            Mining, except oil and gas",2023,0,118.93,0
            Support activities for mining,2023,1,115.677,0.864476084
        Utilities,2023,1,98.076,1.01961744
        Construction,2023,943,146.021,645.7975223
        Manufacturing,2023,35345,91.16,38772.48793
            Durable goods,2023,35090,91.022,38551.11951
                Wood products,2023,6,119.607,5.016428804
                Nonmetallic mineral products,2023,29,119.395,24.28912434
                Primary metals,2023,43,146.734,29.30472828
                Fabricated metal products,2023,265,122.099,217.0369946
                Machinery,2023,522,116.016,449.9379396
                Computer and electronic products2,2023,20361,79.348,25660.38211
"                Electrical equipment, appliances, and components",2023,628,152.122,412.8265471
"                Motor vehicles, bodies and trailers, and parts",2023,1,104.634,0.955712292
                Other transportation equipment3,2023,12699,111.403,11399.15442
                Furniture and related products,2023,9,119.086,7.557563442
                Miscellaneous manufacturing,2023,525,119.711,438.5561895
            Nondurable goods,2023,256,117.029,218.7491989
                Food and beverage and tobacco products,2023,154,119.621,128.739937
                Textile mills and textile product mills,2023,7,119.672,5.849321479
                Apparel and leather and allied products,2023,4,119.287,3.35325727
                Paper products,2023,19,119.736,15.86824347
                Printing and related support activities,2023,1,106.991,0.934658055
                Petroleum and coal products,2023,19,119.485,15.9015776
                Chemical products,2023,5,50.895,9.824147755
                Plastics and rubber products,2023,46,119.692,38.4319754
        Wholesale trade,2023,27134,192.425,14101.07834
        Retail trade,2023,637,100.941,631.0617093
            Motor vehicle and parts dealers,2023,1,118.75,0.842105263
            Food and beverage stores,2023,1,147.62,0.677414984
            General merchandise stores,2023,82,140.435,58.39000249
            Other retail,2023,553,96.407,573.6098001
        Transportation and warehousing,2023,1280,138.483,924.3011778
            Air transportation,2023,669,107.262,623.7064384
            Rail transportation,2023,3,119.849,2.503149797
            Water transportation,2023,0,159.48,0
            Truck transportation,2023,577,151.759,380.2080931
            Transit and ground passenger transportation,2023,1,117.744,0.849300177
            Pipeline transportation,2023,1,117.646,0.85000765
            Other transportation and support activities,2023,26,134.866,19.27839485
            Warehousing and storage,2023,4,118.919,3.36363407
        Information,2023,27669,126.581,21858.73077
"            Publishing industries, except internet (includes software)",2023,392,104.864,373.817516
            Motion picture and sound recording industries,2023,51,115.371,44.20521622
            Broadcasting and telecommunications4,2023,25989,126.554,20535.89772
"            Data processing, internet publishing, and other information services",2023,1238,134.265,922.0571258
"        Finance, insurance, real estate, rental, and leasing",2023,231,129.409,178.5038135
            Finance and insurance,2023,222,130.196,170.5121509
"                Federal Reserve banks, credit intermediation, and related activities",2023,28,107.893,25.95163727
"                Securities, commodity contracts, and investments",2023,15,110.72,13.54768786
                Insurance carriers and related activities,2023,178,137.119,129.8142489
"                Funds, trusts, and other financial vehicles",2023,0,107.608,0
            Real estate and rental and leasing,2023,9,114.546,7.857105442
                Real estate,2023,6,111.987,5.357764741
                    Housing,2023,1,109.981,0.909247961
                    Other real estate,2023,4,112.493,3.555776804
                Rental and leasing services and lessors of intangible assets,2023,3,119.232,2.51610306
        Professional and business services,2023,10118,116.213,8706.426992
"            Professional, scientific, and technical services",2023,9765,116.397,8389.391479
                Legal services,2023,2,98.65,2.027369488
                Computer systems design and related services,2023,873,87.003,1003.413675
"                Miscellaneous professional, scientific, and technical services",2023,8890,120.273,7391.517631
            Management of companies and enterprises,2023,193,112.411,171.6913825
            Administrative and waste management services,2023,160,110.357,144.9840065
                Administrative and support services,2023,160,110.368,144.9695564
                Waste management and remediation services,2023,0,97.867,0
"        Educational services, health care, and social assistance",2023,3444,110.353,3120.893859
            Educational services,2023,3347,110.256,3035.662458
            Health care and social assistance,2023,97,115.039,84.31923087
                Ambulatory health care services,2023,4,98.949,4.042486533
                Hospitals,2023,92,116.118,79.22974905
                Nursing and residential care facilities,2023,0,100.855,0
                Social assistance,2023,0,94.659,0
"        Arts, entertainment, recreation, accommodation, and food services",2023,114,121.344,93.94778481
"            Arts, entertainment, and recreation",2023,109,122.263,89.15207381
"                Performing arts, spectator sports, museums, and related activities",2023,109,122.345,89.0923209
"                Amusements, gambling, and recreation industries",2023,0,100.529,0
            Accommodation and food services,2023,5,95.253,5.249178504
                Accommodation,2023,5,95.16,5.254308533
                Food services and drinking places,2023,0,105.004,0
"        Other services, except government",2023,6,93.502,6.416975038
    Government5,2023,35602,119.959,29678.47348
        Federal,2023,32050,121.044,26477.97495
            General government,2023,32047,121.047,26474.84035
            General government,2023,32047,109.697,29214.10795
                National defense,2023,11021,122.019,9032.199903
                Nondefense,2023,21027,120.424,17460.80516
            Government enterprises,2023,3,102.234,2.93444451
            Government enterprises,2023,3,128.696,2.331074781
        State and local,2023,3552,109.697,3238.010155
            General government,2023,3552,121.047,2934.397383
            General government,2023,3552,109.697,3238.010155
            Government enterprises,2023,0,102.234,0
            Government enterprises,2023,0,128.696,0
"Space economy excluding satellite television, satellite radio, and educational services6",2023,123475,119.726,103131.3165
